epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3806.05,1.64269,0.99477,0.96318,0.06323,0.32292,0.06866,0.03505,1.39191,81.0217,0.86307,0.00028475,0.00028475,0.00028475
80,3853.21,1.62947,0.99475,0.95804,0.06959,0.32,0.07406,0.04164,1.39373,72.5185,0.85914,0.000272375,0.000272375,0.000272375
81,3901.18,1.63005,0.99794,0.95477,0.05681,0.31458,0.06368,0.03845,1.33702,68.0674,0.84445,0.00026,0.00026,0.00026
82,3949.26,1.59655,0.96332,0.96252,0.06892,0.46458,0.07114,0.04152,1.3844,76.4844,0.85741,0.000247625,0.000247625,0.000247625
83,3997.08,1.62093,0.98408,0.96138,0.0788,0.42708,0.07174,0.04309,1.2931,72.1508,0.83252,0.00023525,0.00023525,0.00023525
84,4044.58,1.5924,0.96928,0.95143,0.06871,0.36458,0.06461,0.03582,1.25864,75.3239,0.82962,0.000222875,0.000222875,0.000222875
85,4091.77,1.57501,0.97409,0.95135,0.08027,0.43958,0.07147,0.04377,1.32089,74.3025,0.83974,0.0002105,0.0002105,0.0002105
86,4138.7,1.56317,0.96451,0.94604,0.07054,0.52292,0.07824,0.04959,1.31902,73.9608,0.84392,0.000198125,0.000198125,0.000198125
87,4186.21,1.56638,0.95519,0.94553,0.08154,0.50208,0.08606,0.05635,1.25187,76.566,0.82756,0.00018575,0.00018575,0.00018575
88,4234.19,1.54398,0.94464,0.94667,0.08917,0.44792,0.08036,0.04465,1.3309,75.6531,0.84516,0.000173375,0.000173375,0.000173375
89,4281.66,1.56389,0.95472,0.94064,0.08092,0.43542,0.07754,0.04931,1.26972,69.5983,0.82355,0.000161,0.000161,0.000161
90,4328.84,1.55662,0.94137,0.94362,0.06797,0.46458,0.07299,0.04338,1.26076,85.256,0.82694,0.000148625,0.000148625,0.000148625
91,4377.9,1.51108,0.89037,0.96348,0.06844,0.51667,0.07109,0.04302,1.274,73.1883,0.82743,0.00013625,0.00013625,0.00013625
92,4422.76,1.46075,0.8695,0.95362,0.08832,0.44792,0.07227,0.04826,1.25856,76.695,0.82492,0.000123875,0.000123875,0.000123875
93,4468,1.45456,0.85937,0.95168,0.06245,0.40208,0.06945,0.04315,1.24562,76.7983,0.82582,0.0001115,0.0001115,0.0001115
94,4513.28,1.4562,0.86803,0.94968,0.07794,0.55833,0.07524,0.0482,1.19294,76.1014,0.81332,9.9125e-05,9.9125e-05,9.9125e-05
95,4558.61,1.43811,0.85414,0.94442,0.06615,0.38958,0.07641,0.04662,1.19485,77.8876,0.81301,8.675e-05,8.675e-05,8.675e-05
96,4603.37,1.43551,0.85817,0.94908,0.08214,0.42708,0.06969,0.04778,1.1578,74.2831,0.80869,7.4375e-05,7.4375e-05,7.4375e-05
97,4651.24,1.43483,0.85183,0.9445,0.07901,0.43958,0.07104,0.04485,1.1652,76.6661,0.81186,6.2e-05,6.2e-05,6.2e-05
98,4698.02,1.41762,0.84926,0.94358,0.09096,0.40625,0.07791,0.05194,1.1932,75.6368,0.81284,4.9625e-05,4.9625e-05,4.9625e-05
99,4744.2,1.42424,0.84448,0.94229,0.08537,0.43125,0.07884,0.04859,1.17771,75.9358,0.80943,3.725e-05,3.725e-05,3.725e-05
100,4791.34,1.41867,0.84704,0.94631,0.08595,0.41875,0.07716,0.04843,1.1781,77.8215,0.8107,2.4875e-05,2.4875e-05,2.4875e-05
